Place,Travel time (min),Initial response,Run-up (m),No. waves,Period,Duration of perturbation,Comments
1-Oporto,-,Uplift,>1.2-1.5,-,15 min,More than 4 h,
2-Mira,80.,Uplift,-,Several,30 min,1h 30 m,
3-Figueira da Foz,-,Uplift,36.,3,2 h,Till sunset,
4-Lavos,38.-45.,Uplift,-,1,-,-,travel timems not reliable
5-Viera,-,-,-,1,-,-,
7-A-dos-Cunhados,75.,Uplift,16.2-18.,3,-,All afternoon,run-ups at the cliffs
8-Ericeira,-,-,-,-,-,All day,
9-Cascais,-,Uplift,12.,3,Brief time,-,
10-Carnaxide,23.-30.,Uplift,6.,3,-,-,
11-Bugio light house,30.,Uplift,-,3,-,-,
13-Benavente,-,-,2.-3.,3,-,-,
18-Setubal,-,-,6.-17.5,3,-,-,
22-Aljezur,-,Subsidence Uplift,-54\N:3.6;S:54.,-,Few minutes,-,run-ups at the cliffs
23-Sagres (Sao Vicente Cape),6.-7.\16.-17.,Subsidence Uplift,N:-11.;E:-14.,-,-,-,
23-Sagres (Beliche Fortress),-,-,54.,3,-,-,run-ups at the cliffs
23-Sagres (Sagres Fortress),-,Subsidence Uplift,-\N:108.;E:144.,-,-,-,run-ups at the cliffs
23-Sagres (Martinhal beach),-,-,-,3,-,-,
24-Budens,-,Uplift,10.-12.,-,-,-,
25-Lagos,23.-30.,Uplift,6.-9.,-,-,-,
27-Portimao,-,Uplift,10.8,-,-,-,
30-Albufeira,-,Uplift,10.5,3,Few minutes,Till 4 pm,
31-Quarteira,-,Uplift,10.8,5,-,-,
P. Santo,-,Uplift,-,-,-,-,
Funchal,90.,Uplift,6.6,4or5,-,-,
A. Heroismo,80.,-,3.,3,-,-,
